size,instance,algorithm,time_taken,steps,computational_cost,best_energy,time_to_best,min_energy,median_energy,success_probability,standard_deviation,residual_energy
10,29,Simulated Annealing,0.26473756399991544,4500.0,22500.0,1700.0,0.015907786067906028,1700.0,1760.0,0.0,36.613658653568066,16.0
10,29,Genetic Algorithm,0.38701071299965406,120.0,24200.0,1700.0,0.07546708903493253,1700.0,1700.0,0.0,40.489010854798615,16.0
10,29,Tabu Search,0.09953167000003305,180.0,40500.0,1684.0,0.008626078066669532,1684.0,1684.0,1.0,0.0,0.0
10,30,QAP Objective,2.7380000119592296e-05,1.0,5.0,1961.0,0.0,1961.0,1961.0,0.0,0.0,380.0
10,30,Simulated Annealing,0.26440696300005584,4500.0,22500.0,1585.0,0.005358647783467799,1585.0,1618.0,0.0,32.5170724389512,4.0
10,30,Genetic Algorithm,0.3877506559997528,120.0,24200.0,1581.0,0.0665638626132909,1581.0,1612.0,0.2,24.507957891264624,0.0
10,30,Tabu Search,0.13978002200019546,180.0,40500.0,1585.0,0.03711936139782968,1585.0,1585.0,0.0,13.200000000000001,4.0
10,31,QAP Objective,2.8548000045702793e-05,1.0,5.0,2128.0,0.0,2128.0,2128.0,0.0,0.0,328.0
10,31,Simulated Annealing,0.2689899580000201,4500.0,22500.0,1856.0,0.005618901344889309,1856.0,1896.0,0.0,17.08098357823694,56.0
10,31,Genetic Algorithm,0.38623518699978376,120.0,24200.0,1842.0,0.03604861745331315,1842.0,1904.0,0.0,30.307754783223384,42.0
10,31,Tabu Search,0.11749870299991017,180.0,40500.0,1800.0,0.019844225395540385,1800.0,1800.0,0.8,22.799999999999997,0.0
10,32,QAP Objective,2.8900000415887916e-05,1.0,5.0,1507.0,0.0,1507.0,1507.0,0.0,0.0,241.0
10,32,Simulated Annealing,0.26330902800009426,4500.0,22500.0,1291.0,0.015716623315738962,1291.0,1296.0,0.0,25.102987869972768,25.0
10,32,Genetic Algorithm,0.3875679470002069,120.0,24200.0,1281.0,0.0445703139050238,1281.0,1307.0,0.0,20.713280763799826,15.0
10,32,Tabu Search,0.14590990599981524,180.0,40500.0,1266.0,0.03988204097328284,1266.0,1266.0,1.0,0.0,0.0
10,33,QAP Objective,2.918800009865663e-05,1.0,5.0,1819.0,0.0,1819.0,1819.0,0.0,0.0,293.0
10,33,Simulated Annealing,0.26475304699988556,4500.0,22500.0,1535.0,0.007201282878396888,1535.0,1556.0,0.0,16.289874155437786,9.0
10,33,Genetic Algorithm,0.3843902989997332,120.0,24200.0,1538.0,0.051892690364963974,1538.0,1579.0,0.0,40.9760905895133,12.0
10,33,Tabu Search,0.14041530200029229,180.0,40500.0,1526.0,0.03713204652896618,1526.0,1526.0,0.8,3.6000000000000005,0.0
10,34,QAP Objective,2.8264999855309725e-05,1.0,5.0,1704.0,0.0,1704.0,1704.0,0.0,0.0,363.0
10,34,Simulated Annealing,0.2627972800000862,4500.0,22500.0,1341.0,0.010523571079114563,1341.0,1415.0,0.2,35.11353015576759,0.0
10,34,Genetic Algorithm,0.3888190460002079,120.0,24200.0,1373.0,0.09590869801338461,1373.0,1408.0,0.0,26.999259249097925,32.0
